参考能量(eV/atom)	计算能量(eV/atom)
-7.0002608450	-6.9994230138
-7.0058589594	-7.0052580633
-7.0001954060	-6.9996411220
-7.0070655553	-7.0065395464
-7.0016477028	-7.0007340102
-6.9935342344	-6.9929103882
-6.9994856581	-6.9989795865
-7.0042896908	-7.0035406861
-7.0026437197	-7.0022622507
-7.0165163872	-7.0156292462
-7.0054093980	-7.0046865702
-6.9955612459	-6.9949832568
-6.9972712994	-6.9967702550
-7.0079201858	-7.0072519301
-7.0106996015	-7.0099809693
-6.9894539969	-6.9889210993
-7.0037429485	-7.0033191930
-6.9899626419	-6.9890658876
-7.0053492553	-7.0047666083
-7.0061436742	-7.0055441019
-6.9936797584	-6.9931681923
-7.0077668536	-7.0072681691
-7.0006273024	-6.9999218289
-7.0038368053	-7.0031979986
-7.0104686393	-7.0098438192
-6.9982143925	-6.9975149486
-7.0055885860	-7.0047988539
-7.0054681501	-7.0050458961
-7.0005137908	-6.9998037355
-7.0040421581	-7.0033502038
-7.0055130992	-7.0050469013
-6.9933768451	-6.9926663500
-6.9880776810	-6.9876233686
-7.0681518278	-7.0675574300
-7.0017702057	-7.0011138264
-6.9998405965	-6.9994911389
-6.9995089878	-6.9987234450
-7.0031417505	-7.0024079092
-7.0039873399	-7.0033190650
-7.0071390890	-7.0063389344
-7.0059621366	-7.0056738233
-7.0076079823	-7.0070484712
-7.0051757761	-7.0044921216
-6.9992040922	-6.9985576785
-6.9883542933	-6.9877062980
-7.0032899952	-7.0027238646
-6.9874468899	-6.9877519559
-6.9915318528	-6.9919682446
-6.9883938678	-6.9886088133
-6.9827327090	-6.9830069724
-6.9760799075	-6.9764924258
-6.9805326689	-6.9808378255
-6.9808433451	-6.9810610093
-6.9827384624	-6.9828573854
-6.9908372368	-6.9910701732
-6.9763872098	-6.9767891344
-7.0484286338	-7.0486233310
-6.9749092886	-6.9751939429
-6.9773018110	-6.9776595404
-6.9792622336	-6.9795058060
-6.9838258988	-6.9841312572
-6.9766368952	-6.9770371341
-6.9781018213	-6.9782571142
-6.9837347872	-6.9841015886
-6.9865350986	-6.9867087239
-6.9822344763	-6.9824566108
-6.9773285731	-6.9776156642
-6.9721000563	-6.9723731084
-6.9836294865	-6.9840317652
-6.9816576963	-6.9819497356
-6.9764158825	-6.9768266465
-6.9820460922	-6.9823255575
-6.9891791611	-6.9894168041
-6.9892637751	-6.9896373949
-6.9926868443	-6.9928843058
-6.9741786775	-6.9745951791
-6.9772441946	-6.9775496138
-6.9862170804	-6.9864677589
-6.9764605501	-6.9769124377
-6.9816018674	-6.9819141636
-6.9819121769	-6.9821957396
-6.9738630317	-6.9741173918
-6.9836030359	-6.9840141913
-6.9851630647	-6.9853756553
-6.9897743444	-6.9901448012
-6.9726703752	-6.9729395953
-6.9772925108	-6.9776363290
-6.9852397785	-6.9855882689
-6.9952498881	-6.9955254141
-6.9846823890	-6.9850343882
-6.9795202996	-6.9798733994
-6.9898301712	-6.9901991290
-6.2813778844	-6.2812922026
-6.2766085175	-6.2765280364
-6.2766970851	-6.2770428064
-6.2656851298	-6.2656235369
-6.2817672784	-6.2817889930
-6.2721023307	-6.2720767683
-6.3468869316	-6.3469032213
-6.2731990982	-6.2734160959
-6.2639952438	-6.2641836629
-6.2750763712	-6.2752441295
-6.2759148866	-6.2760719510
-6.2691853446	-6.2694148412
-6.2797141130	-6.2796106104
-6.2741409223	-6.2743231928
-6.2698657080	-6.2699183452
-6.2758431950	-6.2759033127
-6.2778943946	-6.2783317233
-6.2786235995	-6.2786037182
-6.2832428009	-6.2833239168
-6.2778785184	-6.2782601727
-6.2677884545	-6.2677694871
-6.2741965625	-6.2742798560
-6.2667335680	-6.2669938189
-6.2682263088	-6.2682877570
-6.2777660263	-6.2777951074
-6.2753434289	-6.2754989309
-6.2785934420	-6.2788240331
-6.2733794764	-6.2733261925
-6.2802125137	-6.2804689423
-6.2808725020	-6.2809673084
-6.2771838691	-6.2771854238
-6.2694630265	-6.2694714136
-6.2890715420	-6.2892185029
-6.2734784357	-6.2735304393
-6.2693625345	-6.2694710116
-6.2832816321	-6.2832329087
-6.2813975196	-6.2813543916
-6.2778083023	-6.2778354089
-6.2813936610	-6.2816194482
-6.2763394362	-6.2764110501
-6.2731069313	-6.2731936663
-6.2712744042	-6.2714797549
-6.2751561037	-6.2750408655
-6.2724680933	-6.2723594709
-6.2797473682	-6.2797031888
