参考stress(eV/Å³)	计算stress(eV/Å³)
0.0249844608	0.0251043528
-0.0048694543	-0.0044303454
0.0262495471	0.0264513753
-0.0048694543	-0.0044303454
0.0236847511	0.0232736994
-0.0006982648	-0.0006844402
0.0262495471	0.0264513753
-0.0006982648	-0.0006844402
-0.0156095533	-0.0177354257
0.0270794300	0.0255730824
-0.0062648938	-0.0062112530
-0.0181663151	-0.0177921871
-0.0062648938	-0.0062112530
0.0188004933	0.0171787189
-0.0071024839	-0.0068038972
-0.0181663151	-0.0177921871
-0.0071024839	-0.0068038972
-0.0257283240	-0.0277285199
0.0231963280	0.0238771512
-0.0016989859	-0.0028957158
0.0155679049	0.0156834964
-0.0016989859	-0.0028957158
0.0246472122	0.0252817969
-0.0020500362	-0.0020450171
0.0155679049	0.0156834964
-0.0020500362	-0.0020450171
-0.0241374873	-0.0263507084
0.0284873263	0.0267679937
-0.0052707625	-0.0050508605
-0.0233150602	-0.0232150599
-0.0052707625	-0.0050508605
0.0264430730	0.0239302380
-0.0073944024	-0.0071322942
-0.0233150602	-0.0232150599
-0.0073944024	-0.0071322942
-0.0278902191	-0.0306006081
0.0187123062	0.0185400716
-0.0019130358	-0.0014622290
-0.0181025764	-0.0180120049
-0.0019130358	-0.0014622290
0.0220322979	0.0228000601
0.0316850932	0.0317761554
-0.0181025764	-0.0180120049
0.0316850932	0.0317761554
-0.0175762639	-0.0201692812
0.0198082063	0.0187715170
-0.0004539737	-0.0008004323
-0.0076395909	-0.0082384938
-0.0004539737	-0.0008004323
0.0136057845	0.0135551313
-0.0136301447	-0.0134249148
-0.0076395909	-0.0082384938
-0.0136301447	-0.0134249148
-0.0312511051	-0.0325096294
0.0227817986	0.0210581521
-0.0041817153	-0.0029354876
-0.0100621325	-0.0096475277
-0.0041817153	-0.0029354876
0.0199613748	0.0188812793
0.0218237527	0.0213493616
-0.0100621325	-0.0096475277
0.0218237527	0.0213493616
-0.0358950335	-0.0378153466
0.0284363410	0.0281571635
-0.0037067191	-0.0037683896
0.0063878999	0.0070941755
-0.0037067191	-0.0037683896
0.0292687527	0.0285351678
-0.0113377914	-0.0106161448
0.0063878999	0.0070941755
-0.0113377914	-0.0106161448
-0.0068496554	-0.0098362867
0.0239358765	0.0228259055
-0.0032594454	-0.0038733401
-0.0038263907	-0.0043521642
-0.0032594454	-0.0038733401
0.0253884781	0.0242997708
0.0168413178	0.0166606263
-0.0038263907	-0.0043521642
0.0168413178	0.0166606263
-0.0288052690	-0.0309864662
0.0306368936	0.0317356892
0.0006036085	0.0007981243
-0.0375599011	-0.0374547001
0.0006036085	0.0007981243
0.0325154325	0.0332900351
0.0176962673	0.0172468138
-0.0375599011	-0.0374547001
0.0176962673	0.0172468138
0.0084375674	0.0058181393
0.0214309680	0.0211358620
-0.0062106867	-0.0055418722
0.0142895309	0.0146885221
-0.0062106867	-0.0055418722
0.0223773172	0.0221636380
-0.0104045661	-0.0101156417
0.0142895309	0.0146885221
-0.0104045661	-0.0101156417
-0.0226332151	-0.0244421065
0.0226928077	0.0222533942
-0.0038145939	-0.0035239870
-0.0186041015	-0.0189082836
-0.0038145939	-0.0035239870
0.0282656875	0.0265818835
-0.0060197431	-0.0061574543
-0.0186041015	-0.0189082836
-0.0060197431	-0.0061574543
-0.0278068081	-0.0297705045
0.0202272694	0.0198161800
-0.0037343352	-0.0028799286
0.0223218609	0.0218654123
-0.0037343352	-0.0028799286
0.0187100409	0.0180908118
0.0076114491	0.0076779808
0.0223218609	0.0218654123
0.0076114491	0.0076779808
-0.0305834551	-0.0317522247
0.0234632459	0.0222497965
-0.0047326925	-0.0051999484
0.0084086528	0.0084203749
-0.0047326925	-0.0051999484
0.0234155161	0.0231028887
0.0164520923	0.0166241323
0.0084086528	0.0084203749
0.0164520923	0.0166241323
-0.0289659979	-0.0304695040
0.0263533915	0.0260269226
-0.0020217703	-0.0024338307
-0.0166500425	-0.0167821888
