参考能量(eV/atom)	计算能量(eV/atom)
-7.0002608450	-7.1703868771
-7.0058589594	-7.1734715634
-7.0001954060	-7.1713291513
-7.0070655553	-7.1693808959
-7.0016477028	-7.1703073368
-6.9935342344	-7.1646663431
-6.9994856581	-7.1670389025
-7.0042896908	-7.1665431031
-7.0026437197	-7.1740973299
-7.0165163872	-7.1647023996
-7.0054093980	-7.1768680636
-6.9955612459	-7.1623374727
-6.9972712994	-7.1699313750
-7.0079201858	-7.1754127011
-7.0106996015	-7.1721486234
-6.9894539969	-7.1561575830
-7.0037429485	-7.1658543808
-6.9899626419	-7.1629114522
-7.0053492553	-7.1696053830
-7.0061436742	-7.1740349563
-6.9936797584	-7.1661055518
-7.0077668536	-7.1727277576
-7.0006273024	-7.1699891118
-7.0038368053	-7.1700783157
-7.0104686393	-7.1784538539
-6.9982143925	-7.1659585133
-7.0055885860	-7.1666611992
-7.0054681501	-7.1696865164
-7.0005137908	-7.1708620545
-7.0040421581	-7.1657227912
-7.0055130992	-7.1691951775
-6.9933768451	-7.1638603684
-6.9880776810	-7.1621569902
-7.0681518278	-7.2346143052
-7.0017702057	-7.1689048999
-6.9998405965	-7.1695546880
-6.9995089878	-7.1684265228
-7.0031417505	-7.1714235550
-7.0039873399	-7.1678379906
-7.0071390890	-7.1665363428
-7.0059621366	-7.1684238936
-7.0076079823	-7.1751200936
-7.0051757761	-7.1667243318
-6.9992040922	-7.1671885601
-6.9883542933	-7.1617274210
-7.0032899952	-7.1664188234
-6.9874468899	-7.1654066478
-6.9915318528	-7.1648067925
-6.9883938678	-7.1646309164
-6.9827327090	-7.1689878903
-6.9760799075	-7.1629664539
-6.9805326689	-7.1599085477
-6.9808433451	-7.1609901368
-6.9827384624	-7.1609496242
-6.9908372368	-7.1670400705
-6.9763872098	-7.1591978940
-7.0484286338	-7.2291963479
-6.9749092886	-7.1605514316
-6.9773018110	-7.1576772776
-6.9792622336	-7.1604244508
-6.9838258988	-7.1602821458
-6.9766368952	-7.1623728695
-6.9781018213	-7.1600123472
-6.9837347872	-7.1653100875
-6.9865350986	-7.1539363116
-6.9822344763	-7.1639709227
-6.9773285731	-7.1597861194
-6.9721000563	-7.1562156642
-6.9836294865	-7.1596259580
-6.9816576963	-7.1619304022
-6.9764158825	-7.1597652618
-6.9820460922	-7.1671004328
-6.9891791611	-7.1643569034
-6.9892637751	-7.1643953133
-6.9926868443	-7.1662975723
-6.9741786775	-7.1583564757
-6.9772441946	-7.1607559773
-6.9862170804	-7.1565981433
-6.9764605501	-7.1592973290
-6.9816018674	-7.1636099801
-6.9819121769	-7.1595947233
-6.9738630317	-7.1561246266
-6.9836030359	-7.1619443832
-6.9851630647	-7.1681554225
-6.9897743444	-7.1625367245
-6.9726703752	-7.1537215902
-6.9772925108	-7.1571762235
-6.9852397785	-7.1634062078
-6.9952498881	-7.1739272403
-6.9846823890	-7.1652338882
-6.9795202996	-7.1628645463
-6.9898301712	-7.1682571340
-6.2813778844	-6.4419666192
-6.2766085175	-6.4357273572
-6.2766970851	-6.4358894026
-6.2656851298	-6.4300443403
-6.2817672784	-6.4437954671
-6.2721023307	-6.4307951997
-6.3468869316	-6.4995436031
-6.2731990982	-6.4372638340
-6.2639952438	-6.4244354939
-6.2750763712	-6.4349454350
-6.2759148866	-6.4359806415
-6.2691853446	-6.4305893209
-6.2797141130	-6.4377421058
-6.2741409223	-6.4330016740
