参考stress(eV/Å³)	计算stress(eV/Å³)
0.0249844608	-0.0066876833
-0.0048694543	0.0118692706
0.0262495471	0.0185844046
-0.0048694543	0.0118692706
0.0236847511	-0.0085403553
-0.0006982648	-0.0047491353
0.0262495471	0.0185844046
-0.0006982648	-0.0047491353
-0.0156095533	-0.0351520268
0.0270794300	-0.0064355466
-0.0062648938	0.0113410718
-0.0181663151	-0.0129586832
-0.0062648938	0.0113410718
0.0188004933	-0.0131906475
-0.0071024839	-0.0025819475
-0.0181663151	-0.0129586832
-0.0071024839	-0.0025819475
-0.0257283240	-0.0416400952
0.0231963280	-0.0094244037
-0.0016989859	0.0144331723
0.0155679049	0.0151776704
-0.0016989859	0.0144331723
0.0246472122	-0.0092519065
-0.0020500362	0.0003280247
0.0155679049	0.0151776704
-0.0020500362	0.0003280247
-0.0241374873	-0.0435964535
0.0284873263	-0.0068101748
-0.0052707625	0.0114133540
-0.0233150602	-0.0153037954
-0.0052707625	0.0114133540
0.0264430730	-0.0073933986
-0.0073944024	-0.0034131362
-0.0233150602	-0.0153037954
-0.0073944024	-0.0034131362
-0.0278902191	-0.0470957296
0.0187123062	-0.0130064240
-0.0019130358	0.0147153707
-0.0181025764	-0.0136359828
-0.0019130358	0.0147153707
0.0220322979	-0.0095852568
0.0316850932	0.0265683321
-0.0181025764	-0.0136359828
0.0316850932	0.0265683321
-0.0175762639	-0.0389949008
0.0198082063	-0.0155549691
-0.0004539737	0.0167650969
-0.0076395909	-0.0036057282
-0.0004539737	0.0167650969
0.0136057845	-0.0196499128
-0.0136301447	-0.0107179816
-0.0076395909	-0.0036057282
-0.0136301447	-0.0107179816
-0.0312511051	-0.0468985615
0.0227817986	-0.0128892362
-0.0041817153	0.0134719129
-0.0100621325	-0.0091053293
-0.0041817153	0.0134719129
0.0199613748	-0.0142966527
0.0218237527	0.0159380871
-0.0100621325	-0.0091053293
0.0218237527	0.0159380871
-0.0358950335	-0.0498865583
0.0284363410	-0.0070785459
-0.0037067191	0.0122292662
0.0063878999	0.0068469380
-0.0037067191	0.0122292662
0.0292687527	-0.0047186001
-0.0113377914	-0.0063074670
0.0063878999	0.0068469380
-0.0113377914	-0.0063074670
-0.0068496554	-0.0305125198
0.0239358765	-0.0102630256
-0.0032594454	0.0138934002
-0.0038263907	-0.0064764259
-0.0032594454	0.0138934002
0.0253884781	-0.0090423198
0.0168413178	0.0117785559
-0.0038263907	-0.0064764259
0.0168413178	0.0117785559
-0.0288052690	-0.0472561083
0.0306368936	-0.0029066989
0.0006036085	0.0163098071
-0.0375599011	-0.0272260303
0.0006036085	0.0163098071
0.0325154325	-0.0021175959
0.0176962673	0.0167965964
-0.0375599011	-0.0272260303
0.0176962673	0.0167965964
0.0084375674	-0.0224159499
0.0214309680	-0.0110040530
-0.0062106867	0.0123418961
0.0142895309	0.0131207881
-0.0062106867	0.0123418961
0.0223773172	-0.0104136786
-0.0104045661	-0.0066284795
0.0142895309	0.0131207881
-0.0104045661	-0.0066284795
-0.0226332151	-0.0418295308
0.0226928077	-0.0112316174
-0.0038145939	0.0113051566
-0.0186041015	-0.0144749581
-0.0038145939	0.0113051566
0.0282656875	-0.0059235214
-0.0060197431	-0.0054311148
-0.0186041015	-0.0144749581
-0.0060197431	-0.0054311148
-0.0278068081	-0.0464094773
0.0202272694	-0.0129429572
-0.0037343352	0.0151602240
0.0223218609	0.0158903350
-0.0037343352	0.0151602240
0.0187100409	-0.0140122643
0.0076114491	0.0066340259
0.0223218609	0.0158903350
0.0076114491	0.0066340259
-0.0305834551	-0.0490808939
0.0234632459	-0.0100394757
-0.0047326925	0.0131169300
0.0084086528	0.0025030124
-0.0047326925	0.0131169300
0.0234155161	-0.0107159415
0.0164520923	0.0094702916
0.0084086528	0.0025030124
0.0164520923	0.0094702916
-0.0289659979	-0.0490642563
0.0263533915	-0.0087216971
-0.0020217703	0.0146564673
-0.0166500425	-0.0127907414
-0.0020217703	0.0146564673
0.0245674871	-0.0106955921
-0.0094560359	-0.0047703730
-0.0166500425	-0.0127907414
-0.0094560359	-0.0047703730
-0.0244710927	-0.0456097256
0.0211501343	-0.0120663201
-0.0047109643	0.0116751799
0.0055246956	0.0021899853
-0.0047109643	0.0116751799
0.0243710876	-0.0105097634
0.0074380519	0.0028525475
0.0055246956	0.0021899853
0.0074380519	0.0028525475
-0.0253496845	-0.0475160516
0.0264261662	-0.0082487414
0.0001432214	0.0145404437
-0.0289212392	-0.0219787739
0.0001432214	0.0145404437
0.0226605191	-0.0111817989
0.0206120446	0.0182436215
-0.0289212392	-0.0219787739
0.0206120446	0.0182436215
-0.0187717251	-0.0442168195
0.0186442813	-0.0146936218
-0.0036550231	0.0135842480
0.0136290825	0.0120703900
-0.0036550231	0.0135842480
0.0227844041	-0.0109795563
-0.0138959199	-0.0089616540
0.0136290825	0.0120703900
-0.0138959199	-0.0089616540
-0.0269105631	-0.0429513904
0.0248239933	-0.0107452141
-0.0012090287	0.0142684529
-0.0266686314	-0.0228327064
-0.0012090287	0.0142684529
0.0247541765	-0.0077286393
0.0275232225	0.0210025174
-0.0266686314	-0.0228327064
0.0275232225	0.0210025174
-0.0215139203	-0.0426827593
0.0232984470	-0.0107442166
0.0010873798	0.0179521496
-0.0016398148	0.0016478433
0.0010873798	0.0179521496
0.0194405657	-0.0113116435
-0.0120385055	-0.0073428938
-0.0016398148	0.0016478433
-0.0120385055	-0.0073428938
-0.0153903492	-0.0350375664
0.0167510264	-0.0180984658
-0.0004130361	0.0158817401
-0.0155774156	-0.0084255437
-0.0004130361	0.0158817401
0.0142274118	-0.0202584680
0.0039086348	0.0072292463
-0.0155774156	-0.0084255437
0.0039086348	0.0072292463
-0.0544717682	-0.0645680746
0.0251074065	-0.0085985702
-0.0041956083	0.0132222529
-0.0382389321	-0.0305526666
-0.0041956083	0.0132222529
0.0244951534	-0.0101721579
0.0005982050	0.0008201832
-0.0382389321	-0.0305526666
0.0005982050	0.0008201832
-0.0188782052	-0.0424922830
0.0200535736	-0.0126249299
-0.0044708158	0.0117776856
0.0152332930	0.0105916368
-0.0044708158	0.0117776856
0.0228197867	-0.0114984606
-0.0149394918	-0.0130964114
0.0152332930	0.0105916368
-0.0149394918	-0.0130964114
-0.0246035144	-0.0461294708
0.0231265328	-0.0102392673
-0.0075578920	0.0117232932
-0.0259143839	-0.0188920460
-0.0075578920	0.0117232932
0.0267709786	-0.0079398821
-0.0057107131	-0.0013236080
-0.0259143839	-0.0188920460
-0.0057107131	-0.0013236080
-0.0323166323	-0.0504337991
0.0257415536	-0.0091605447
-0.0016943714	0.0150659624
-0.0026725142	0.0003360782
-0.0016943714	0.0150659624
0.0264549817	-0.0070792869
0.0003756192	0.0008318971
-0.0026725142	0.0003360782
0.0003756192	0.0008318971
-0.0193050952	-0.0384647872
0.0198849825	-0.0136227022
0.0002047331	0.0178532736
0.0090542911	0.0100040424
0.0002047331	0.0178532736
0.0193371791	-0.0131986661
-0.0056873697	-0.0022679350
0.0090542911	0.0100040424
-0.0056873697	-0.0022679350
-0.0239883084	-0.0428074207
0.0257760543	-0.0101034991
-0.0015225016	0.0156436458
-0.0002445735	0.0035004916
-0.0015225016	0.0156436458
0.0249512540	-0.0114095191
-0.0116181904	-0.0066018709
-0.0002445735	0.0035004916
-0.0116181904	-0.0066018709
-0.0266157281	-0.0479055308
0.0283841617	-0.0059638982
